mañana	morning, tomorrow
mover	to move, incite
continuar	to continue
cantidad	quantity, amount
acción	action, act, deed
suceder	to happen
fijar	to set, fix, [se] notice
sociedad	society
referir	to refer (to)
acercar	to come near
capaz	capable, able
bajo	short, low
libre	free, vacant
natural	natural
dedicar	to dedicate, devote
realmente	really, actually, in fact
peso	peso (money), weight, load
efecto	effect
objeto	object, thing
verdadero	true, real
dónde	where?
aprender	to learn
amor	love
muerte	death
partido	party, group, (sports) match
económico	economic
derecho	right, justice, law
poder	power
importancia	importance
sistema	system
viaje	travel, trip
suelo	ground, floor
respecto	respect, con respecto a: with regards to
conocimiento	knowledge
libertad	freedom, liberty
encima	above, on top, in addition
comprar	to buy
común	common
abierto	open, unlocked
próximo	next
atención	attention
joven	young
subir	to go up
esfuerzo	effort, endeavor
pasado	past, last
evitar	to avoid, prevent
resto	rest, remainder, leftover
interesar	to interest
zona	area, zone
miedo	fear
fuera	out, outside, away
proceso	process, procedure
vivo	alive, bright
cerrar	to close
echar	to throw, cast
responder	to answer, respond
sufrir	to suffer, undergo
completo	complete
minuto	minute
contrario	contrary, opposite
mesa	table, board
real	royal, real, authentic
ocasión	opportunity, occasion
importar	to matter, import
público	public
obtener	to obtain
programa	program, plan
favor	favor, benefit
lejos	far (away, off)
siete	seven
enorme	enormous, vast
respuesta	answer, reply
línea	line, course
espacio	space, room
nivel	level
gobierno	government
cabo	end, bit; llevar a c.: to carry out
observar	to observe
indicar	to indicate
alguien	somebody, someone, anyone
pregunta	question
claro	of course, clearly
atrás	back, behind, ago
imagen	image, picture
carrera	career, course, race
imaginar	to imagine
soler	to be accustomed to
ambos	both
profundo	deep, profound
detener	to stop, detain
desarrollar	to develop
ocho	eight
señalar	to point (out), signal
elegir	to choose, elect
figura	figure
principal	main, principal
animal	animal
base	base, basis
preparar	to prepare
proponer	to propose